year,week,week_dim,week final,day,org_id,organization_name,application,app_name,metric_id,metric_name,jobType,scoped,scoped_level,changeId,scenarioId,scenarioName,executionStartedAt,execution_time,computed_rows,updated_rows,upserted_rows,nb_executions,nb_batch_executions,executionId,dims,nb_dims,Exclude,Exclude app
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,APP_0031,APP_0031,METRIC_1641,METRIC_1641,Formula,False,NoChange,CHANGE_0001,,SCEN_0004,2026-02-03T00:15:58.832Z,137.0,24.0,,0.0,1.0,1.0,EXEC_33175,DIMS_0468,1.0,False,True
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,APP_0010,APP_0010,METRIC_0414,METRIC_0414,Formula,False,NoChange,CHANGE_0002,,,2026-02-03T12:13:09.876Z,511.0,6830.0,,0.0,1.0,1.0,EXEC_25738,DIMS_0734,1.0,False,True
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,APP_0013,APP_0013,METRIC_1832,METRIC_1832,ManualInput,False,NonApplicable,CHANGE_0003,,SCEN_0004,2026-02-03T15:24:41.958Z,248.0,,,,1.0,1.0,EXEC_6524,,0.0,False,True
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,APP_0018,APP_0018,METRIC_0446,METRIC_0446,Formula,False,NoChange,CHANGE_0004,,,2026-02-03T01:17:19.695Z,144.0,7304.0,,0.0,1.0,1.0,EXEC_17560,DIMS_0736,1.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,TransferDataset,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.515Z,222.0,6.0,,6.0,1.0,1.0,EXEC_3229,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.819Z,117.0,2.0,,0.0,1.0,1.0,EXEC_25060,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.819Z,103.0,4.0,,0.0,1.0,1.0,EXEC_6987,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.819Z,114.0,1.0,,0.0,1.0,1.0,EXEC_0382,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.819Z,1074.0,6.0,,0.0,1.0,1.0,EXEC_14086,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.822Z,111.0,1.0,,0.0,1.0,1.0,EXEC_6235,,0.0,False,False
2026,5,WK 5 26,WK 5 23,2026-02-03,ORG_0001,ORG_0001,,,,,Fusion,False,NonApplicable,CHANGE_0005,,,2026-02-03T05:26:01.951Z,344.0,1.0,,0.0,1.0,1.0,EXEC_27172,,0.0,False,False
