year,week,week_dim,day,org_id,organization,app_id,app_name,blockId,blockName,changeId,scoped,scoped_level,workers,macroFormula,backingMetricId,jobType,executionId,executionStartedAt,execution_time,computed_rows,deleted_rows,upserted_rows,nb_executions,nb_batch_executions
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,ARM_Revenue,CHG_ARM_01,False,NonApplicable,0,ARM_FORMULA_01,,Formula,EXEC_ARM_01,2026-02-10T08:00:00.000Z,3450.0,150000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,ARM_Cost,CHG_ARM_02,False,NonApplicable,0,ARM_FORMULA_02,,Formula,EXEC_ARM_02,2026-02-10T08:05:00.000Z,2890.0,250000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,UPM_Finance,CHG_UPM_01,False,NonApplicable,0,UPM_FORMULA_01,,Formula,EXEC_UPM_01,2026-02-10T08:10:00.000Z,1200.0,50000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,,ARM_Salary,CHG_ARM_03,False,NonApplicable,0,ARM_FORMULA_03,,Formula,EXEC_ARM_03,2026-02-10T09:00:00.000Z,890.0,20000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,,UPM_HR,CHG_UPM_02,False,NonApplicable,0,UPM_FORMULA_02,,Formula,EXEC_UPM_02,2026-02-10T09:05:00.000Z,450.0,5000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_SUPPLY,Supply Chain,,ARM_Inventory,CHG_ARM_04,False,NonApplicable,0,ARM_FORMULA_04,,Formula,EXEC_ARM_04,2026-02-10T10:00:00.000Z,8500.0,500000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-10,DEMO_ORG,Acme Corp,APP_SUPPLY,Supply Chain,,ARM_Shipping,CHG_ARM_05,False,NonApplicable,0,ARM_FORMULA_05,,Formula,EXEC_ARM_05,2026-02-10T10:30:00.000Z,12300.0,800000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-11,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,ARM_Revenue,CHG_ARM_06,False,NonApplicable,0,ARM_FORMULA_01,,Formula,EXEC_ARM_06,2026-02-11T08:00:00.000Z,3520.0,150000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-11,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,ARM_Consolidation,CHG_ARM_07,False,NonApplicable,0,ARM_FORMULA_06,,Formula,EXEC_ARM_07,2026-02-11T14:00:00.000Z,25600.0,2000000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-11,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,,ARM_Pipeline,CHG_ARM_08,False,NonApplicable,0,ARM_FORMULA_07,,Formula,EXEC_ARM_08,2026-02-11T10:00:00.000Z,780.0,25000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-11,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,,UPM_Sales,CHG_UPM_03,False,NonApplicable,0,UPM_FORMULA_03,,Formula,EXEC_UPM_03,2026-02-11T10:05:00.000Z,320.0,8000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-12,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,,ARM_Revenue,CHG_ARM_09,False,NonApplicable,0,ARM_FORMULA_01,,Formula,EXEC_ARM_09,2026-02-12T08:00:00.000Z,3680.0,150000.0,0.0,0.0,1.0,0.0
2026,WK 6 26,WK 6 26,2026-02-12,DEMO_ORG,Acme Corp,APP_SUPPLY,Supply Chain,,ARM_Shipping,CHG_ARM_10,False,NonApplicable,0,ARM_FORMULA_05,,Formula,EXEC_ARM_10,2026-02-12T11:00:00.000Z,13100.0,800000.0,0.0,0.0,1.0,0.0
