year,week,week_dim,day,org_id,organization,app_id,app_name,blockId,blockName,jobType,executionStartedAt,execution_time,computed_rows,nb_executions
2026,3,WK 3 26,2026-01-12,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_EXEC,Executive Summary,ImpView,2026-01-12T08:25:00.000Z,1011.4,5167.0,22.0
2026,3,WK 3 26,2026-01-12,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,BOARD_HC,Headcount Dashboard,ImpView,2026-01-12T15:43:00.000Z,533.3,2096.0,6.0
2026,3,WK 3 26,2026-01-12,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,BOARD_QUOTA,Quota Tracker,ImpView,2026-01-12T11:59:00.000Z,424.4,2993.0,10.0
2026,3,WK 3 26,2026-01-12,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,BOARD_PIPE,Pipeline View,ImpView,2026-01-12T08:30:00.000Z,818.4,7588.0,24.0
2026,3,WK 3 26,2026-01-12,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,BOARD_ATTR,Attrition Tracker,ImpView,2026-01-12T18:08:00.000Z,287.7,864.0,4.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_PNL,P&L Analysis,ImpView,2026-01-13T11:27:00.000Z,845.2,15713.0,15.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_SUPPLY,Supply Chain,BOARD_INV,Inventory Status,ImpView,2026-01-13T14:20:00.000Z,2924.6,50458.0,4.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_BS,Balance Sheet,ImpView,2026-01-13T13:53:00.000Z,2711.2,22727.0,3.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,BOARD_QUOTA,Quota Tracker,ImpView,2026-01-13T10:21:00.000Z,422.1,3154.0,7.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,BOARD_ATTR,Attrition Tracker,ImpView,2026-01-13T10:44:00.000Z,355.3,758.0,2.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_EXEC,Executive Summary,ImpView,2026-01-13T17:02:00.000Z,1020.9,5132.0,22.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,BOARD_HC,Headcount Dashboard,ImpView,2026-01-13T14:49:00.000Z,373.0,1832.0,7.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_CF,Cash Flow,ImpView,2026-01-13T08:11:00.000Z,1940.9,18337.0,4.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_SUPPLY,Supply Chain,BOARD_SHIP,Shipping Tracker,ImpView,2026-01-13T12:26:00.000Z,6348.3,119424.0,3.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_CONSOL,Consolidation View,ImpView,2026-01-13T10:13:00.000Z,7589.9,198016.0,1.0
2026,3,WK 3 26,2026-01-13,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,BOARD_PIPE,Pipeline View,ImpView,2026-01-13T11:11:00.000Z,717.6,7488.0,13.0
2026,3,WK 3 26,2026-01-14,DEMO_ORG,Acme Corp,APP_SALES,Sales Dashboard,BOARD_PIPE,Pipeline View,ImpView,2026-01-14T11:07:00.000Z,845.4,8190.0,30.0
2026,3,WK 3 26,2026-01-14,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_PNL,P&L Analysis,ImpView,2026-01-14T16:32:00.000Z,790.9,15477.0,14.0
2026,3,WK 3 26,2026-01-14,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_CONSOL,Consolidation View,ImpView,2026-01-14T12:03:00.000Z,7719.0,207409.0,2.0
2026,3,WK 3 26,2026-01-14,DEMO_ORG,Acme Corp,APP_HR,HR Analytics,BOARD_HC,Headcount Dashboard,ImpView,2026-01-14T15:31:00.000Z,377.2,1817.0,6.0
2026,3,WK 3 26,2026-01-14,DEMO_ORG,Acme Corp,APP_FINANCE,Finance Planning,BOARD_CF,Cash Flow,ImpView,2026-01-14T18:23:00.000Z,1428.1,17403.0,3.0
